id,name,deadline,code,week
87,Gameweek 14 - Day 6,2025-01-25T16:30:00Z,14.6,14
88,Gameweek 14 - Day 7,2025-01-26T22:30:00Z,14.7,14
89,Gameweek 15 - Day 1,2025-01-27T23:30:00Z,15.1,15
90,Gameweek 15 - Day 2,2025-01-29T00:00:00Z,15.2,15
91,Gameweek 15 - Day 3,2025-01-29T23:30:00Z,15.3,15
92,Gameweek 15 - Day 4,2025-01-30T23:30:00Z,15.4,15
93,Gameweek 15 - Day 5,2025-01-31T23:30:00Z,15.5,15
94,Gameweek 15 - Day 6,2025-02-01T21:30:00Z,15.6,15
95,Gameweek 15 - Day 7,2025-02-02T19:30:00Z,15.7,15
96,Gameweek 16 - Day 1,2025-02-03T23:30:00Z,16.1,16
97,Gameweek 16 - Day 2,2025-02-04T23:30:00Z,16.2,16
98,Gameweek 16 - Day 3,2025-02-05T23:30:00Z,16.3,16
99,Gameweek 16 - Day 4,2025-02-07T00:00:00Z,16.4,16
100,Gameweek 16 - Day 5,2025-02-07T23:30:00Z,16.5,16
101,Gameweek 16 - Day 6,2025-02-08T19:30:00Z,16.6,16
102,Gameweek 16 - Day 7,2025-02-09T17:30:00Z,16.7,16
103,Gameweek 17 - Day 1,2025-02-10T23:30:00Z,17.1,17
104,Gameweek 17 - Day 2,2025-02-11T23:30:00Z,17.2,17
105,Gameweek 17 - Day 3,2025-02-12T23:30:00Z,17.3,17
106,Gameweek 17 - Day 4,2025-02-14T00:30:00Z,17.4,17
107,Gameweek 18 - Day 1,2025-02-20T23:30:00Z,18.1,18
108,Gameweek 18 - Day 2,2025-02-21T23:30:00Z,18.2,18
109,Gameweek 18 - Day 3,2025-02-23T00:00:00Z,18.3,18
110,Gameweek 18 - Day 4,2025-02-23T17:30:00Z,18.4,18
111,Gameweek 19 - Day 1,2025-02-24T23:30:00Z,19.1,19
112,Gameweek 19 - Day 2,2025-02-25T23:30:00Z,19.2,19
113,Gameweek 19 - Day 3,2025-02-26T23:30:00Z,19.3,19
114,Gameweek 19 - Day 4,2025-02-27T23:30:00Z,19.4,19
115,Gameweek 19 - Day 5,2025-02-28T23:30:00Z,19.5,19
116,Gameweek 19 - Day 6,2025-03-01T22:30:00Z,19.6,19
117,Gameweek 19 - Day 7,2025-03-02T17:30:00Z,19.7,19
