team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
LAL,MIN,,,PHX,SAC,,phx,,cle,,tor,,,det,mem,,PHI,,TOR,,,MEM,,sas,nop,,,UTA,,ORL,,DEN,,,phx,sas,OKC,,uta,min,,mia,,atl,,POR,,,,,min,,MEM,,sac,,sac,,DET,gsw,,,SAC,,,CLE,,POR,ATL,,hou,,dal,,CHA,,SAS,,SAS,,MIA,,BKN,,lac,,WAS,,BOS,,gsw,,cha,phi,,was,,nyk,,,lac,,GSW,,IND,,,UTA,uta,,por,,den,,,DAL,,MIN,LAC,,LAC,,NOP,,NYK,,bos,,bkn,,,mil,den,,PHX,,MIL,DEN,,,CHI,,orl,,ind,chi,,mem,,HOU,,,GSW,NOP,,okc,,okc,dal,,HOU,por
MIA,,ORL,,,cha,,DET,,NYK,,,was,,SAC,phx,,den,,min,,det,,,ind,,ind,PHI,,,,,,DAL,,MIL,cha,TOR,,tor,bos,,LAL,,,PHX,CLE,,,,TOR,,,,det,,OKC,orl,,BKN,,orl,,atl,hou,,,NOP,IND,,UTA,,sac,gsw,,uta,,por,,lac,,lal,,DEN,,SAS,,POR,,mil,,bkn,,ORL,,CLE,,,sas,,,chi,phi,,bkn,,,BOS,,okc,dal,,tor,,mil,atl,,ATL,,IND,,NYK,WAS,,cle,,MIN,CHI,,CHA,,LAC,,BOS,mem,,nyk,,DET,,HOU,,CHA,,GSW,,ATL,,phi,,was,,bos,MEM,,MIL,,PHI,,chi,,nop,WAS
MIL,,phi,,CHI,,bkn,bos,,,mem,,CLE,,cle,,UTA,nyk,,BOS,,TOR,DET,,,cha,,HOU,,CHI,,IND,CHA,,,mia,,,WAS,,,det,ATL,,bos,,bkn,,ORL,,,,ATL,,,,cle,WAS,,chi,,BKN,,chi,,,ind,,BKN,,POR,,tor,,SAS,,orl,,nyk,,SAC,ORL,,TOR,,PHI,,,nop,MIA,,lac,,uta,por,,,sas,,MEM,okc,,cha,,atl,,PHI,GSW,,min,,LAC,was,,MIA,,hou,,DEN,,dal,,,atl,DAL,,,ORL,CLE,,ind,,LAL,,IND,OKC,,lal,,gsw,,sac,,phx,,den,,NYK,,ATL,,PHX,,phi,,mia,,,MIN,NOP,,det,DET
MIN,lal,,sac,,TOR,,,DAL,,,DEN,sas,,CHA,,chi,POR,,MIA,,por,por,,sac,,PHX,,,,tor,,,bos,,HOU,SAC,LAC,,,LAL,,lac,,gsw,,gsw,,,,,LAL,,sas,,NYK,,GSW,,atl,dal,,hou,,SAS,,okc,,BOS,,det,,LAC,nop,,orl,,MEM,,was,,GSW,,nyk,CLE,,mem,,dal,,,DEN,,ATL,,phx,uta,,WAS,,SAC,,CHI,HOU,,POR,,cle,,MIL,OKC,,hou,,OKC,okc,,,lal,uta,,phx,,PHI,cha,,mia,,SAS,,,den,,ORL,,UTA,IND,,NOP,,NOP,,,ind,,,,PHX,,DET,,den,,bkn,,phi,,,mil,,mem,BKN,UTA
BKN,,atl,,orl,,MIL,,DEN,mem,,CHI,,DET,MEM,,,bos,cle,,nop,,BOS,,nyk,,nyk,,CHA,,,phi,,sac,gsw,,phx,ORL,,ORL,chi,,IND,,,,MIL,,,,,mem,,,CLE,tor,,UTA,,mia,,mil,SAS,,orl,,,tor,mil,,PHI,,IND,,DET,,den,,uta,,por,lac,,lal,,okc,,NYK,PHX,,,MIA,,SAC,,cha,,,hou,,,HOU,WAS,,MIA,,,CHA,,PHI,,CLE,,phi,,was,,OKC,,POR,det,,,sas,,GSW,,cha,,LAL,cle,,chi,,BOS,ATL,,bos,,ind,,ind,,DAL,,TOR,,LAC,was,,dal,,,MIN,,,TOR,,NOP,,ATL,min,NYK
NYK,bos,,,IND,,,CLE,,mia,,det,,,hou,atl,,MIL,,ind,,phi,CHI,,BKN,,BKN,WAS,,phx,,,uta,,den,,dal,cha,,NOP,,ORL,,CHA,,DET,,tor,,ATL,,,,orl,,min,,nop,,TOR,SAS,,orl,was,,was,,UTA,,okc,chi,,ORL,,TOR,,OKC,,MIL,DET,,phi,,MIN,,,ATL,bkn,,,,SAC,,MEM,,DEN,,,LAL,,HOU,tor,,,,BOS,,,ind,ATL,,CHI,cle,,bos,,,PHI,,mem,,mia,,GSW,,lal,lac,,,sac,,por,,,gsw,,MIA,,sas,cha,,WAS,,,DAL,LAC,,mil,,POR,,PHI,cle,,,atl,PHX,,BOS,,det,CLE,bkn
ORL,,mia,,BKN,mem,,IND,,chi,,cle,,dal,okc,ind,,NOP,,WAS,,CHA,IND,,PHI,,,phx,,lac,lal,,DET,,cha,,CHI,bkn,,bkn,,nyk,phi,,phi,,PHX,,mil,,,,,NYK,,OKC,,MIA,,BOS,,MIA,NYK,,BKN,,,det,,tor,,UTA,nyk,,,MIN,MIL,,PHI,,,mil,,bos,,DEN,,tor,,POR,,DET,,mia,,,por,,uta,,gsw,,sac,den,,SAS,,ATL,,CHA,,atl,MEM,,WAS,,CLE,,GSW,,,TOR,,TOR,,,,mil,,hou,,CHI,,min,,cle,sas,,HOU,,was,,,LAL,cha,,DAL,,SAC,,LAC,,,was,,,nop,,ATL,BOS,,ind,atl
IND,,det,,nyk,,PHI,orl,,BOS,,nop,,,dal,ORL,,cha,,NYK,,,orl,,MIA,,MIA,tor,,hou,,mil,,WAS,NOP,,POR,DET,,mem,,tor,bkn,,chi,,CHA,,,,,phi,,NOP,,phx,,,sac,gsw,,OKC,bos,,bos,,MIL,,mia,,PHX,,bkn,,CHI,,GSW,,cle,,CLE,,det,,PHI,,,,,SAS,,sas,,,,DET,,,ATL,,uta,por,,lac,,lal,,,NYK,was,,MEM,,,LAC,DEN,,TOR,,mia,,CHI,,HOU,,atl,,atl,,chi,MIL,,,phi,mil,,min,,DAL,BKN,,BKN,,MIN,,LAL,was,,okc,,SAC,,CHA,,UTA,,den,,WAS,,CLE,ORL,cle
PHI,,MIL,,tor,,ind,,,DET,,,MEM,,phx,lac,,lal,,CHA,,NYK,CLE,,orl,,,mia,,mem,,BKN,,LAC,,,HOU,,det,,,cha,ORL,,ORL,,chi,,,,,IND,,,cha,,CHA,cle,,SAS,bos,,,uta,,por,,sac,gsw,,bkn,,PHX,,WAS,,NOP,,orl,,OKC,NYK,,,ind,mil,,den,,,CLE,chi,,,LAL,SAC,,DEN,,BOS,,DAL,MIA,,det,,mil,,TOR,bkn,,BOS,,BKN,,CHI,,nyk,,,GSW,,POR,min,,bos,,,UTA,atl,,tor,,IND,,dal,hou,,okc,,sas,,atl,nop,,WAS,,,MIA,TOR,,nyk,,MIL,,MIN,,mia,,was,,ATL,CHI
PHX,,lac,,lal,DAL,,LAL,,,lac,,POR,,PHI,MIA,,dal,,SAC,,uta,sac,,okc,,min,ORL,,NYK,,,,,,LAL,BKN,,GSW,,,SAS,,nop,,mia,orl,,,,,uta,,POR,,IND,,DET,,den,DEN,,DAL,gsw,,,MEM,,,,ind,,phi,cha,,ATL,,UTA,CHA,,atl,,was,,det,,cle,,bkn,,,WAS,,LAC,,MIN,,gsw,por,,por,,okc,,UTA,DEN,,,MEM,hou,,sas,,chi,tor,,mem,,NOP,NOP,,MIN,,LAC,,,den,,dal,mem,,hou,,SAC,,lal,TOR,,CHI,,CLE,,,MIL,,BOS,,min,,HOU,,mil,,,bos,,nyk,,GSW,OKC,,SAS,sac
